timestamp_ns,tier,core_utilization_pct,memory_used_bytes,memory_capacity_bytes,packets_processed,packets_queued,packets_dropped
62323538114947,S,0,0,4194304,0,0,0
62323548143874,S,0,0,4194304,0,0,0
62323558554316,S,0,0,4194304,0,0,0
62323568613186,S,0,0,4194304,0,0,0
62323578846661,S,0,0,4194304,0,0,0
62323589009905,S,0,0,4194304,0,0,0
62323599299977,S,0,0,4194304,0,0,0
62323609549015,S,0,0,4194304,0,0,0
62323619689986,S,0,0,4194304,0,0,0
62323629716942,S,0,0,4194304,0,0,0
62323639773887,S,0,0,4194304,0,0,0
62323649920725,S,0,0,4194304,0,0,0
62323660063776,S,0,0,4194304,0,0,0
62323670839347,S,0,0,4194304,0,0,0
62323680846784,S,0,0,4194304,0,0,0
62323690868557,S,0,0,4194304,0,0,0
62323700967522,S,0,0,4194304,0,0,0
62323711063026,S,0,0,4194304,0,0,0
62323721093418,S,0,0,4194304,0,0,0
62323731226897,S,0,0,4194304,0,0,0
62323741372007,S,0,0,4194304,0,0,0
62323751538630,S,0,0,4194304,0,0,0
62323761776287,S,0,0,4194304,0,0,0
62323771856159,S,0,0,4194304,0,0,0
62323782089225,S,0,0,4194304,0,0,0
62323792373245,S,0,0,4194304,0,0,0
62323802544132,S,0,0,4194304,0,0,0
62323812568306,S,0,0,4194304,0,0,0
62323822717803,S,0,0,4194304,0,0,0
62323832958139,S,0,0,4194304,0,0,0
62323843112906,S,0,0,4194304,0,0,0
62323853342106,S,0,0,4194304,0,0,0
62323863548763,S,0,0,4194304,0,0,0
62323873664331,S,0,0,4194304,0,0,0
62323883790847,S,0,0,4194304,0,0,0
62323893925575,S,0,0,4194304,0,0,0
62323904085084,S,0,0,4194304,0,0,0
62323914593431,S,0,0,4194304,0,0,0
62323924796932,S,0,0,4194304,0,0,0
62323934957861,S,0,0,4194304,0,0,0
62323945311699,S,0,0,4194304,0,0,0
62323956047720,S,0,0,4194304,0,0,0
62323966578372,S,0,0,4194304,0,0,0
62323976752193,S,0,0,4194304,0,0,0
62323987058887,S,0,0,4194304,0,0,0
62323997262270,S,0,0,4194304,0,0,0
62324007445239,S,0,0,4194304,0,0,0
62324017604684,S,0,0,4194304,0,0,0
62324027719368,S,0,0,4194304,0,0,0
62324037964403,S,0,0,4194304,0,0,0
62324048122471,S,0,0,4194304,0,0,0
62324058500218,S,0,0,4194304,0,0,0
62324068823629,S,0,0,4194304,0,0,0
62324079281323,S,0,0,4194304,0,0,0
62324089833794,S,0,0,4194304,0,0,0
62324100220366,S,0,0,4194304,0,0,0
62324110924372,S,0,0,4194304,0,0,0
62324120992297,S,0,0,4194304,0,0,0
62324131460322,S,0,0,4194304,0,0,0
62324141558010,S,0,0,4194304,0,0,0
62324151696352,S,0,0,4194304,0,0,0
62324161791799,S,0,0,4194304,0,0,0
62324171926434,S,0,0,4194304,0,0,0
62324182639979,S,0,0,4194304,0,0,0
62324192686176,S,0,0,4194304,0,0,0
62324203450075,S,0,0,4194304,0,0,0
62324213548401,S,0,0,4194304,0,0,0
62324224093379,S,0,0,4194304,0,0,0
62324234477003,S,0,0,4194304,0,0,0
62324244870123,S,0,0,4194304,0,0,0
62324255236502,S,0,0,4194304,0,0,0
62324265423989,S,0,0,4194304,0,0,0
62324275933542,S,0,0,4194304,0,0,0
