timestamp_ns,tier,core_utilization_pct,memory_used_bytes,memory_capacity_bytes,packets_processed,packets_queued,packets_dropped
60779922013217,S,0,0,4194304,0,0,0
60779932016817,S,0,0,4194304,0,0,0
60779942278400,S,0,0,4194304,0,0,0
60779952523986,S,0,0,4194304,0,0,0
60779962618794,S,0,0,4194304,0,0,0
60779972660461,S,0,0,4194304,0,0,0
60779982705145,S,0,0,4194304,0,0,0
60779992804656,S,0,0,4194304,0,0,0
60780003080815,S,0,0,4194304,0,0,0
60780013084074,S,0,0,4194304,0,0,0
60780023252096,S,0,0,4194304,0,0,0
60780033342088,S,0,0,4194304,0,0,0
60780043485253,S,0,0,4194304,0,0,0
60780053510777,S,0,0,4194304,0,0,0
60780063585045,S,0,0,4194304,0,0,0
60780073709915,S,0,0,4194304,0,0,0
60780083796296,S,0,0,4194304,0,0,0
60780093853114,S,0,0,4194304,0,0,0
60780103993209,S,0,0,4194304,0,0,0
60780114031487,S,0,0,4194304,0,0,0
60780124113072,S,0,0,4194304,0,0,0
60780134214694,S,0,0,4194304,0,0,0
60780145037839,S,0,0,4194304,0,0,0
60780155251896,S,0,0,4194304,0,0,0
60780165316386,S,0,0,4194304,0,0,0
60780175327663,S,0,0,4194304,0,0,0
60780185382782,S,0,0,4194304,0,0,0
60780195546419,S,0,0,4194304,0,0,0
60780205555121,S,0,0,4194304,0,0,0
60780215671939,S,0,0,4194304,0,0,0
60780225872986,S,0,0,4194304,0,0,0
60780236284921,S,0,0,4194304,0,0,0
60780246567906,S,0,0,4194304,0,0,0
60780256698581,S,0,0,4194304,0,0,0
60780266767072,S,0,0,4194304,0,0,0
60780276793730,S,0,0,4194304,0,0,0
60780286877266,S,0,0,4194304,0,0,0
60780297215645,S,0,0,4194304,0,0,0
60780307581482,S,0,0,4194304,0,0,0
60780317911107,S,0,0,4194304,0,0,0
60780327921346,S,0,0,4194304,0,0,0
60780338588036,S,0,0,4194304,0,0,0
60780348926607,S,0,0,4194304,0,0,0
60780359704630,S,0,0,4194304,0,0,0
60780370332962,S,0,0,4194304,0,0,0
60780380440222,S,0,0,4194304,0,0,0
60780391008919,S,0,0,4194304,0,0,0
60780401582220,S,0,0,4194304,0,0,0
60780411858864,S,0,0,4194304,0,0,0
60780422014354,S,0,0,4194304,0,0,0
60780432119257,S,0,0,4194304,0,0,0
60780442352937,S,0,0,4194304,0,0,0
60780452628300,S,0,0,4194304,0,0,0
60780463624163,S,0,0,4194304,0,0,0
60780473643298,S,0,0,4194304,0,0,0
60780483875341,S,0,0,4194304,0,0,0
60780494179362,S,0,0,4194304,0,0,0
60780504454372,S,0,0,4194304,0,0,0
60780514724341,S,0,0,4194304,0,0,0
60780525321298,S,0,0,4194304,0,0,0
60780535736440,S,0,0,4194304,0,0,0
60780546173947,S,0,0,4194304,0,0,0
60780556414709,S,0,0,4194304,0,0,0
60780566562625,S,0,0,4194304,0,0,0
60780576617283,S,0,0,4194304,0,0,0
60780587016576,S,0,0,4194304,0,0,0
60780597709729,S,0,0,4194304,0,0,0
60780607837536,S,0,0,4194304,0,0,0
60780618079361,S,0,0,4194304,0,0,0
60780628390584,S,0,0,4194304,0,0,0
60780638983945,S,0,0,4194304,0,0,0
60780649726629,S,0,0,4194304,0,0,0
60780660271276,S,0,0,4194304,0,0,0
60780670774102,S,0,0,4194304,0,0,0
60780681117654,S,0,0,4194304,0,0,0
60780691454559,S,0,0,4194304,0,0,0
60780701847745,S,0,0,4194304,0,0,0
60780712753875,S,0,0,4194304,0,0,0
60780723309772,S,0,0,4194304,0,0,0
60780733334708,S,0,0,4194304,0,0,0
60780743648666,S,0,0,4194304,0,0,0
60780754110046,S,0,0,4194304,0,0,0
60780764522148,S,0,0,4194304,0,0,0
60780775445495,S,0,0,4194304,0,0,0
60780785799367,S,0,0,4194304,0,0,0
60780796433701,S,0,0,4194304,0,0,0
60780806862221,S,0,0,4194304,0,0,0
60780817791557,S,0,0,4194304,0,0,0
60780828040223,S,0,0,4194304,0,0,0
60780838683148,S,0,0,4194304,0,0,0
60780848857203,S,0,0,4194304,0,0,0
60780859426362,S,0,0,4194304,0,0,0
60780870510655,S,0,0,4194304,0,0,0
60780880823941,S,0,0,4194304,0,0,0
60780891216894,S,0,0,4194304,0,0,0
60780901408461,S,0,0,4194304,0,0,0
60780911774769,S,0,0,4194304,0,0,0
60780921947684,S,0,0,4194304,0,0,0
60780932427321,S,0,0,4194304,0,0,0
60780942988716,S,0,0,4194304,0,0,0
60780953320334,S,0,0,4194304,0,0,0
60780963355775,S,0,0,4194304,0,0,0
60780974546279,S,0,0,4194304,0,0,0
60780985047624,S,0,0,4194304,0,0,0
60780996027111,S,0,0,4194304,0,0,0
60781007009498,S,0,0,4194304,0,0,0
60781017015879,S,0,0,4194304,0,0,0
60781027184702,S,0,0,4194304,0,0,0
60781037270390,S,0,0,4194304,0,0,0
60781048143778,S,0,0,4194304,0,0,0
60781058293870,S,0,0,4194304,0,0,0
60781068685668,S,0,0,4194304,0,0,0
60781079250708,S,0,0,4194304,0,0,0
60781089624622,S,0,0,4194304,0,0,0
60781100288063,S,0,0,4194304,0,0,0
60781110505294,S,0,0,4194304,0,0,0
60781120980001,S,0,0,4194304,0,0,0
60781131334144,S,0,0,4194304,0,0,0
60781141654793,S,0,0,4194304,0,0,0
60781151911816,S,0,0,4194304,0,0,0
60781162357502,S,0,0,4194304,0,0,0
60781172798451,S,0,0,4194304,0,0,0
60781182813971,S,0,0,4194304,0,0,0
60781193480907,S,0,0,4194304,0,0,0
60781203490531,S,0,0,4194304,0,0,0
60781213756376,S,0,0,4194304,0,0,0
60781224229836,S,0,0,4194304,0,0,0
60781234696464,S,0,0,4194304,0,0,0
60781245277121,S,0,0,4194304,0,0,0
60781255449446,S,0,0,4194304,0,0,0
60781265535079,S,0,0,4194304,0,0,0
60781275989370,S,0,0,4194304,0,0,0
60781286009553,S,0,0,4194304,0,0,0
60781296425876,S,0,0,4194304,0,0,0
60781306513659,S,0,0,4194304,0,0,0
60781316882990,S,0,0,4194304,0,0,0
60781327465325,S,0,0,4194304,0,0,0
60781338850777,S,0,0,4194304,0,0,0
60781349216268,S,0,0,4194304,0,0,0
60781359666989,S,0,0,4194304,0,0,0
60781370236789,S,0,0,4194304,0,0,0
60781380466321,S,0,0,4194304,0,0,0
60781390489775,S,0,0,4194304,0,0,0
60781401009096,S,0,0,4194304,0,0,0
60781411237650,S,0,0,4194304,0,0,0
60781423079174,S,0,0,4194304,0,0,0
60781433340132,S,0,0,4194304,0,0,0
60781443495922,S,0,0,4194304,0,0,0
60781454218373,S,0,0,4194304,0,0,0
60781465365102,S,0,0,4194304,0,0,0
60781475639679,S,0,0,4194304,0,0,0
60781486027572,S,0,0,4194304,0,0,0
60781496653618,S,0,0,4194304,0,0,0
60781507095655,S,0,0,4194304,0,0,0
60781517169547,S,0,0,4194304,0,0,0
60781527340719,S,0,0,4194304,0,0,0
60781538893621,S,0,0,4194304,0,0,0
60781548904481,S,0,0,4194304,0,0,0
60781559325948,S,0,0,4194304,0,0,0
60781569504865,S,0,0,4194304,0,0,0
60781579863287,S,0,0,4194304,0,0,0
60781589880596,S,0,0,4194304,0,0,0
60781600555512,S,0,0,4194304,0,0,0
60781611154435,S,0,0,4194304,0,0,0
60781622234506,S,0,0,4194304,0,0,0
60781632596460,S,0,0,4194304,0,0,0
60781643121180,S,0,0,4194304,0,0,0
60781653577266,S,0,0,4194304,0,0,0
60781664178864,S,0,0,4194304,0,0,0
60781676103588,S,0,0,4194304,0,0,0
60781686498537,S,0,0,4194304,0,0,0
60781697438866,S,0,0,4194304,0,0,0
60781708272579,S,0,0,4194304,0,0,0
60781718786180,S,0,0,4194304,0,0,0
60781729695644,S,0,0,4194304,0,0,0
60781740647806,S,0,0,4194304,0,0,0
60781751280849,S,0,0,4194304,0,0,0
60781762191035,S,0,0,4194304,0,0,0
60781772258971,S,0,0,4194304,0,0,0
60781782810349,S,0,0,4194304,0,0,0
60781792899620,S,0,0,4194304,0,0,0
60781804099852,S,0,0,4194304,0,0,0
60781814890672,S,0,0,4194304,0,0,0
60781825314430,S,0,0,4194304,0,0,0
60781835442111,S,0,0,4194304,0,0,0
60781846470083,S,0,0,4194304,0,0,0
60781856929546,S,0,0,4194304,0,0,0
60781867948049,S,0,0,4194304,0,0,0
60781878381893,S,0,0,4194304,0,0,0
60781889270541,S,0,0,4194304,0,0,0
60781899736185,S,0,0,4194304,0,0,0
60781909820589,S,0,0,4194304,0,0,0
60781920259127,S,0,0,4194304,0,0,0
60781930745794,S,0,0,4194304,0,0,0
60781940861281,S,0,0,4194304,0,0,0
60781951068725,S,0,0,4194304,0,0,0
60781961798469,S,0,0,4194304,0,0,0
60781972545945,S,0,0,4194304,0,0,0
60781982684854,S,0,0,4194304,0,0,0
60781992745860,S,0,0,4194304,0,0,0
60782002885448,S,0,0,4194304,0,0,0
60782013704308,S,0,0,4194304,0,0,0
60782024745847,S,0,0,4194304,0,0,0
60782035763460,S,0,0,4194304,0,0,0
60782047200453,S,0,0,4194304,0,0,0
60782057433071,S,0,0,4194304,0,0,0
60782068096950,S,0,0,4194304,0,0,0
60782078915162,S,0,0,4194304,0,0,0
60782089468446,S,0,0,4194304,0,0,0
60782100143101,S,0,0,4194304,0,0,0
60782110534412,S,0,0,4194304,0,0,0
60782121453892,S,0,0,4194304,0,0,0
60782131695988,S,0,0,4194304,0,0,0
60782142620457,S,0,0,4194304,0,0,0
60782153945700,S,0,0,4194304,0,0,0
60782164512310,S,0,0,4194304,0,0,0
60782175407817,S,0,0,4194304,0,0,0
60782185857901,S,0,0,4194304,0,0,0
60782195975843,S,0,0,4194304,0,0,0
60782206168148,S,0,0,4194304,0,0,0
60782216631407,S,0,0,4194304,0,0,0
60782226917677,S,0,0,4194304,0,0,0
60782237132032,S,0,0,4194304,0,0,0
60782247231050,S,0,0,4194304,0,0,0
60782257716506,S,0,0,4194304,0,0,0
60782268372543,S,0,0,4194304,0,0,0
60782279237195,S,0,0,4194304,0,0,0
60782289469170,S,0,0,4194304,0,0,0
60782300443144,S,0,0,4194304,0,0,0
60782311506200,S,0,0,4194304,0,0,0
60782322379876,S,0,0,4194304,0,0,0
60782333629505,S,0,0,4194304,0,0,0
60782344441132,S,0,0,4194304,0,0,0
60782355109602,S,0,0,4194304,0,0,0
60782366315386,S,0,0,4194304,0,0,0
60782376634568,S,0,0,4194304,0,0,0
60782388345909,S,0,0,4194304,0,0,0
60782399229788,S,0,0,4194304,0,0,0
60782409334037,S,0,0,4194304,0,0,0
60782419892254,S,0,0,4194304,0,0,0
60782429989926,S,0,0,4194304,0,0,0
60782441052524,S,0,0,4194304,0,0,0
60782451088029,S,0,0,4194304,0,0,0
60782461310107,S,0,0,4194304,0,0,0
60782472613257,S,0,0,4194304,0,0,0
60782482935458,S,0,0,4194304,0,0,0
60782493008799,S,0,0,4194304,0,0,0
60782503468542,S,0,0,4194304,0,0,0
60782513948856,S,0,0,4194304,0,0,0
60782524133144,S,0,0,4194304,0,0,0
60782534787047,S,0,0,4194304,0,0,0
60782544822858,S,0,0,4194304,0,0,0
60782555216048,S,0,0,4194304,0,0,0
60782565721086,S,0,0,4194304,0,0,0
60782576782388,S,0,0,4194304,0,0,0
60782586902197,S,0,0,4194304,0,0,0
60782597232101,S,0,0,4194304,0,0,0
60782607706776,S,0,0,4194304,0,0,0
60782618268083,S,0,0,4194304,0,0,0
60782628977096,S,0,0,4194304,0,0,0
60782639965164,S,0,0,4194304,0,0,0
60782650215572,S,0,0,4194304,0,0,0
60782661177284,S,0,0,4194304,0,0,0
60782671244301,S,0,0,4194304,0,0,0
60782681513865,S,0,0,4194304,0,0,0
60782692753889,S,0,0,4194304,0,0,0
60782703374975,S,0,0,4194304,0,0,0
60782714819379,S,0,0,4194304,0,0,0
60782726779355,S,0,0,4194304,0,0,0
60782737897624,S,0,0,4194304,0,0,0
60782748303817,S,0,0,4194304,0,0,0
60782758420358,S,0,0,4194304,0,0,0
60782769635541,S,0,0,4194304,0,0,0
60782780604797,S,0,0,4194304,0,0,0
60782791912760,S,0,0,4194304,0,0,0
60782802676259,S,0,0,4194304,0,0,0
60782813496346,S,0,0,4194304,0,0,0
60782823988002,S,0,0,4194304,0,0,0
60782834351869,S,0,0,4194304,0,0,0
60782845774002,S,0,0,4194304,0,0,0
60782855945309,S,0,0,4194304,0,0,0
60782867482045,S,0,0,4194304,0,0,0
60782878437029,S,0,0,4194304,0,0,0
60782889362087,S,0,0,4194304,0,0,0
60782900044754,S,0,0,4194304,0,0,0
60782910819715,S,0,0,4194304,0,0,0
60782921472768,S,0,0,4194304,0,0,0
60782931719412,S,0,0,4194304,0,0,0
60782942420354,S,0,0,4194304,0,0,0
60782953024610,S,0,0,4194304,0,0,0
60782963510902,S,0,0,4194304,0,0,0
60782975688475,S,0,0,4194304,0,0,0
60782986442734,S,0,0,4194304,0,0,0
60782997505169,S,0,0,4194304,0,0,0
60783007872641,S,0,0,4194304,0,0,0
60783018675948,S,0,0,4194304,0,0,0
60783029770829,S,0,0,4194304,0,0,0
60783040447779,S,0,0,4194304,0,0,0
60783050976427,S,0,0,4194304,0,0,0
60783061437357,S,0,0,4194304,0,0,0
60783071879712,S,0,0,4194304,0,0,0
60783081995988,S,0,0,4194304,0,0,0
60783092520765,S,0,0,4194304,0,0,0
60783102584148,S,0,0,4194304,0,0,0
60783112688210,S,0,0,4194304,0,0,0
60783124383901,S,0,0,4194304,0,0,0
60783135287002,S,0,0,4194304,0,0,0
60783145796503,S,0,0,4194304,0,0,0
60783156479458,S,0,0,4194304,0,0,0
60783167509745,S,0,0,4194304,0,0,0
60783178088577,S,0,0,4194304,0,0,0
60783188329128,S,0,0,4194304,0,0,0
60783198943524,S,0,0,4194304,0,0,0
60783209831424,S,0,0,4194304,0,0,0
60783219900137,S,0,0,4194304,0,0,0
60783230380573,S,0,0,4194304,0,0,0
60783241374290,S,0,0,4194304,0,0,0
60783252443594,S,0,0,4194304,0,0,0
60783262466851,S,0,0,4194304,0,0,0
60783272730196,S,0,0,4194304,0,0,0
60783282922604,S,0,0,4194304,0,0,0
60783293426096,S,0,0,4194304,0,0,0
60783303804563,S,0,0,4194304,0,0,0
60783313855416,S,0,0,4194304,0,0,0
60783324260070,S,0,0,4194304,0,0,0
60783334993846,S,0,0,4194304,0,0,0
60783345015599,S,0,0,4194304,0,0,0
60783355039970,S,0,0,4194304,0,0,0
60783365503984,S,0,0,4194304,0,0,0
60783376674453,S,0,0,4194304,0,0,0
60783387818530,S,0,0,4194304,0,0,0
60783398692682,S,0,0,4194304,0,0,0
60783409188983,S,0,0,4194304,0,0,0
60783420599842,S,0,0,4194304,0,0,0
60783432266631,S,0,0,4194304,0,0,0
60783442700198,S,0,0,4194304,0,0,0
60783453504797,S,0,0,4194304,0,0,0
60783464402796,S,0,0,4194304,0,0,0
60783474474765,S,0,0,4194304,0,0,0
60783485142658,S,0,0,4194304,0,0,0
60783495800163,S,0,0,4194304,0,0,0
60783506778548,S,0,0,4194304,0,0,0
60783517271087,S,0,0,4194304,0,0,0
60783527460087,S,0,0,4194304,0,0,0
60783538648149,S,0,0,4194304,0,0,0
60783549458041,S,0,0,4194304,0,0,0
60783559470276,S,0,0,4194304,0,0,0
60783570603430,S,0,0,4194304,0,0,0
60783581889409,S,0,0,4194304,0,0,0
60783591992079,S,0,0,4194304,0,0,0
60783603108964,S,0,0,4194304,0,0,0
60783614361069,S,0,0,4194304,0,0,0
60783625398151,S,0,0,4194304,0,0,0
60783636271357,S,0,0,4194304,0,0,0
60783646687241,S,0,0,4194304,0,0,0
60783657285006,S,0,0,4194304,0,0,0
60783667572602,S,0,0,4194304,0,0,0
60783677709385,S,0,0,4194304,0,0,0
60783689022629,S,0,0,4194304,0,0,0
60783699418714,S,0,0,4194304,0,0,0
60783709543960,S,0,0,4194304,0,0,0
60783720650388,S,0,0,4194304,0,0,0
60783731613831,S,0,0,4194304,0,0,0
60783742481529,S,0,0,4194304,0,0,0
60783753719692,S,0,0,4194304,0,0,0
60783764520106,S,0,0,4194304,0,0,0
60783775440330,S,0,0,4194304,0,0,0
60783786877984,S,0,0,4194304,0,0,0
60783797865086,S,0,0,4194304,0,0,0
60783808484281,S,0,0,4194304,0,0,0
60783819166040,S,0,0,4194304,0,0,0
60783829834358,S,0,0,4194304,0,0,0
60783840630677,S,0,0,4194304,0,0,0
60783851087951,S,0,0,4194304,0,0,0
60783861517600,S,0,0,4194304,0,0,0
60783872445970,S,0,0,4194304,0,0,0
60783882684868,S,0,0,4194304,0,0,0
60783893417576,S,0,0,4194304,0,0,0
60783903553854,S,0,0,4194304,0,0,0
60783914146702,S,0,0,4194304,0,0,0
60783924877365,S,0,0,4194304,0,0,0
60783935237460,S,0,0,4194304,0,0,0
60783946496571,S,0,0,4194304,0,0,0
60783957665912,S,0,0,4194304,0,0,0
60783968382512,S,0,0,4194304,0,0,0
60783979019377,S,0,0,4194304,0,0,0
60783989405546,S,0,0,4194304,0,0,0
60783999624883,S,0,0,4194304,0,0,0
60784010923375,S,0,0,4194304,0,0,0
60784022118767,S,0,0,4194304,0,0,0
60784032708684,S,0,0,4194304,0,0,0
60784042974947,S,0,0,4194304,0,0,0
60784053498440,S,0,0,4194304,0,0,0
60784063808008,S,0,0,4194304,0,0,0
60784074938845,S,0,0,4194304,0,0,0
