timestamp_ns,tier,core_utilization_pct,memory_used_bytes,memory_capacity_bytes,packets_processed,packets_queued,packets_dropped
183760149259404,S,0,0,4194304,0,0,0
183760159259447,S,0,0,4194304,0,0,0
183760169259509,S,0,0,4194304,0,0,0
183760179259528,S,0,0,4194304,0,0,0
183760189259561,S,0,0,4194304,0,0,0
183760199259579,S,0,0,4194304,0,0,0
183760209259599,S,0,0,4194304,0,0,0
183760219259671,S,0,0,4194304,0,0,0
183760229259678,S,0,0,4194304,0,0,0
183760239259704,S,0,0,4194304,0,0,0
183760249259716,S,0,0,4194304,0,0,0
183760259259743,S,0,0,4194304,0,0,0
183760269259761,S,0,0,4194304,0,0,0
183760279259764,S,0,0,4194304,0,0,0
183760289259766,S,0,0,4194304,0,0,0
183760299259782,S,0,0,4194304,0,0,0
183760309259798,S,0,0,4194304,0,0,0
183760319259844,S,0,0,4194304,0,0,0
183760329259846,S,0,0,4194304,0,0,0
183760339259851,S,0,0,4194304,0,0,0
183760349259965,S,0,0,4194304,0,0,0
183760359259968,S,0,0,4194304,0,0,0
183760369260030,S,0,0,4194304,0,0,0
183760379260034,S,0,0,4194304,0,0,0
183760389260111,S,0,0,4194304,0,0,0
183760399260114,S,0,0,4194304,0,0,0
183760409260115,S,0,0,4194304,0,0,0
183760419260146,S,0,0,4194304,0,0,0
183760429289218,S,0,0,4194304,0,0,0
183760439289273,S,0,0,4194304,0,0,0
183760449289295,S,0,0,4194304,0,0,0
183760459289317,S,0,0,4194304,0,0,0
183760469289319,S,0,0,4194304,0,0,0
183760479289338,S,0,0,4194304,0,0,0
183760490033077,S,0,0,4194304,0,0,0
183760500033095,S,0,0,4194304,0,0,0
183760510033120,S,0,0,4194304,0,0,0
183760520033173,S,0,0,4194304,0,0,0
183760530033177,S,0,0,4194304,0,0,0
183760540033182,S,0,0,4194304,0,0,0
183760550033221,S,0,0,4194304,0,0,0
183760560033230,S,0,0,4194304,0,0,0
183760570033240,S,0,0,4194304,0,0,0
183760580033247,S,0,0,4194304,0,0,0
183760590033267,S,0,0,4194304,0,0,0
183760600033281,S,0,0,4194304,0,0,0
183760610044568,S,0,0,4194304,0,0,0
183760620044592,S,0,0,4194304,0,0,0
183760630044611,S,0,0,4194304,0,0,0
183760640047952,S,0,0,4194304,0,0,0
183760650047968,S,0,0,4194304,0,0,0
183760660048015,S,0,0,4194304,0,0,0
183760670048077,S,0,0,4194304,0,0,0
183760680048102,S,0,0,4194304,0,0,0
183760690048112,S,0,0,4194304,0,0,0
183760700048117,S,0,0,4194304,0,0,0
183760710048130,S,0,0,4194304,0,0,0
183760720048147,S,0,0,4194304,0,0,0
183760730048180,S,0,0,4194304,0,0,0
183760740048190,S,0,0,4194304,0,0,0
183760750048233,S,0,0,4194304,0,0,0
183760760048272,S,0,0,4194304,0,0,0
183760770048284,S,0,0,4194304,0,0,0
183760780048330,S,0,0,4194304,0,0,0
183760790048337,S,0,0,4194304,0,0,0
183760800048388,S,0,0,4194304,0,0,0
183760810048393,S,0,0,4194304,0,0,0
183760820048430,S,0,0,4194304,0,0,0
183760830048490,S,0,0,4194304,0,0,0
183760840048533,S,0,0,4194304,0,0,0
183760850048552,S,0,0,4194304,0,0,0
183760860048594,S,0,0,4194304,0,0,0
183760870048637,S,0,0,4194304,0,0,0
183760880048653,S,0,0,4194304,0,0,0
183760890048708,S,0,0,4194304,0,0,0
183760900048715,S,0,0,4194304,0,0,0
183760910048729,S,0,0,4194304,0,0,0
183760920048751,S,0,0,4194304,0,0,0
183760930048808,S,0,0,4194304,0,0,0
183760940048827,S,0,0,4194304,0,0,0
183760950048842,S,0,0,4194304,0,0,0
183760960048870,S,0,0,4194304,0,0,0
183760970048929,S,0,0,4194304,0,0,0
183760980048981,S,0,0,4194304,0,0,0
183760990049028,S,0,0,4194304,0,0,0
183761000049089,S,0,0,4194304,0,0,0
183761010049142,S,0,0,4194304,0,0,0
183761020049184,S,0,0,4194304,0,0,0
183761030049248,S,0,0,4194304,0,0,0
183761040049285,S,0,0,4194304,0,0,0
183761050049315,S,0,0,4194304,0,0,0
183761060049357,S,0,0,4194304,0,0,0
183761070049416,S,0,0,4194304,0,0,0
183761080049476,S,0,0,4194304,0,0,0
183761090049506,S,0,0,4194304,0,0,0
183761100049564,S,0,0,4194304,0,0,0
183761110049598,S,0,0,4194304,0,0,0
183761120049638,S,0,0,4194304,0,0,0
183761130049677,S,0,0,4194304,0,0,0
183761140049727,S,0,0,4194304,0,0,0
