timestamp_ns,tier,core_utilization_pct,memory_used_bytes,memory_capacity_bytes,packets_processed,packets_queued,packets_dropped
2330791096,H,0,0,4294967296,4,0,0
2431753445,H,0,0,4294967296,8,0,0
2532754253,H,0,0,4294967296,12,0,0
2633751910,H,0,0,4294967296,16,0,0
2734759728,H,0,0,4294967296,20,0,0
2835744130,H,0,0,4294967296,24,0,0
2936814016,H,0,0,4294967296,28,0,0
3037453694,H,0,0,4294967296,31,0,0
3137754550,H,0,0,4294967296,34,0,0
3238756496,H,0,0,4294967296,38,0,0
3339752395,H,0,0,4294967296,42,0,0
3440746020,H,0,0,4294967296,46,0,0
3541751494,H,0,0,4294967296,50,0,0
3642749845,H,0,0,4294967296,54,0,0
3743852390,H,0,0,4294967296,58,0,0
3844753591,H,0,0,4294967296,62,0,0
3945747941,H,0,0,4294967296,66,0,0
4046746911,H,0,0,4294967296,70,0,0
4147750648,H,0,0,4294967296,74,0,0
4248741553,H,0,0,4294967296,78,0,0
4349738845,H,0,0,4294967296,82,0,0
4450754767,H,0,0,4294967296,84,0,0
4551753727,H,0,0,4294967296,88,0,0
4652754724,H,0,0,4294967296,92,0,0
4753756868,H,0,0,4294967296,96,0,0
4854754393,H,0,0,4294967296,100,0,0
4955754768,H,0,0,4294967296,104,0,0
5056753057,H,0,0,4294967296,108,0,0
5157754329,H,0,0,4294967296,112,0,0
5258753715,H,0,0,4294967296,116,0,0
5359749044,H,0,0,4294967296,120,0,0
5460751550,H,0,0,4294967296,124,0,0
5561816521,H,0,0,4294967296,128,0,0
5662747295,H,0,0,4294967296,132,0,0
5763752158,H,0,0,4294967296,136,0,0
5865576437,H,0,0,4294967296,140,0,0
5965748444,H,0,0,4294967296,144,0,0
6066742926,H,0,0,4294967296,148,0,0
6167755436,H,0,0,4294967296,150,0,0
6268754886,H,0,0,4294967296,154,0,0
6369753093,H,0,0,4294967296,158,0,0
6470754391,H,0,0,4294967296,162,0,0
6571755903,H,0,0,4294967296,166,0,0
6672756946,H,0,0,4294967296,170,0,0
6773757181,H,0,0,4294967296,174,0,0
6874757343,H,0,0,4294967296,178,0,0
6975752215,H,0,0,4294967296,182,0,0
7076746035,H,0,0,4294967296,186,0,0
7178604695,H,0,0,4294967296,190,0,0
7278756067,H,0,0,4294967296,192,0,0
7379755308,H,0,0,4294967296,196,0,0
7480756193,H,0,0,4294967296,200,0,0
